state,trump_2016_vote_share,trump_won
Alabama,62.10%,Yes
Alaska,51.30%,Yes
Arizona,48.10%,Yes
Arkansas,60.60%,Yes
California,31.50%,No
Colorado,43.30%,No
Connecticut,40.90%,No
Delaware,41.70%,No
District of Columbia,4.10%,No
Florida,48.60%,Yes
Georgia,50.40%,Yes
Hawaii,30.00%,No
Idaho,59.20%,Yes
Illinois,38.40%,No
Indiana,56.50%,Yes
Iowa,51.10%,Yes
Kansas,56.20%,Yes
Kntucky,62.50%,Yes
Louisiana,58.10%,Yes
Maine,44.90%,No
Maryland,33.90%,No
Massachusetts,32.80%,No
Michigan,47.30%,Yes
Minnesota,44.90%,No
Mississippi,57.90%,Yes
Missouri,56.40%,Yes
Montana,55.60%,Yes
Nebraska,58.70%,Yes
Nevada,45.50%,No
New Hampshire,46.50%,No
New Jersey,41.00%,No
New Mexico,40.00%,No
New York,36.50%,No
North Carolina,49.80%,Yes
North Dakota,63.00%,Yes
Ohio,51.30%,Yes
Oklahoma,65.30%,Yes
Oregon,39.10%,No
Pennsylvania,48.20%,Yes
Rhode Island,38.90%,No
South Carolina,54.90%,Yes
South Dakota,61.50%,Yes
Tennessee,60.70%,Yes
Texas,52.20%,Yes
Utah,45.10%,Yes
Vermont,30.30%,No
Virginia,44.40%,No
Washington,36.80%,No
West Virginia,67.90%,Yes
Wisconsin,47.20%,Yes
Wyoming,68.20%,Yes