state,State_FIPS,State_Population,Pct_White_Non_Hispanic,Pct_Population_in_Poverty,Median_Household_Income,Pct_Population_No_Health_Insurance
Alabama,1,4864680,65.71305821,17.48974317,48486,9.978474579
Alaska,2,738516,61.03510283,10.80446915,76715,14.41746743
Arizona,4,6946685,55.07498901,16.08770678,56213,10.94291392
Arkansas,5,2990671,72.68766775,17.57962358,45726,9.037173981
California,6,39148760,37.53844566,14.28667541,71228,8.48598182
Colorado,8,5531141,68.30800372,10.91541544,68811,8.123337207
Connecticut,9,3581504,67.53296939,10.02759503,76106,5.575186794
Delaware,10,949495,62.73050411,11.88704289,65627,6.043479331
District of Columbia,11,684498,36.23925855,16.82208962,82604,4.01745326
Florida,12,20598139,54.3585855,14.78724629,53267,13.52758648
Georgia,13,10297484,53.18232104,16.03754491,55679,13.74500256
Hawaii,15,1422029,22.11881755,9.938812945,78084,4.058641029
Idaho,16,1687809,82.21629343,13.81619574,53089,11.02674968
Illinois,17,12821497,61.57070426,13.060497,63575,7.344750426
Indiana,18,6637426,79.47601977,14.1142855,54325,9.123489342
Iowa,19,3132499,86.06189499,11.66888627,58580,4.936121692
Kansas,20,2908776,76.13315704,12.3991472,57422,9.002540598
Kentucky,21,4440204,84.77272666,17.94568738,48392,6.091441857
Louisiana,22,4663616,58.84414583,19.38375822,47942,10.6839817
Maine,23,1332813,93.37581491,12.47064357,55425,8.321051218
Maryland,24,6003435,51.38504873,9.442021136,81868,6.468914995
Massachusetts,25,6830193,72.18554439,10.77205503,77378,2.804463874
Michigan,26,9957488,75.21345745,14.97227421,54938,6.062921378
Minnesota,27,5527358,80.29280897,10.13099703,68411,4.657997447
Mississippi,28,2988762,56.77775614,20.75166061,43567,12.67197167
Missouri,29,6090062,79.61051956,14.18491702,53560,9.721055198
Montana,30,1041732,86.29407564,13.68182234,52559,10.21930944
Nebraska,31,1904760,79.3965644,11.554686,59116,8.415552811
Nevada,32,2922849,49.88601874,13.65414222,57598,11.91712482
New Hampshire,33,1343622,90.39350353,7.869211418,74057,6.505142723
New Jersey,34,8881845,55.84430937,10.38298193,79363,8.465975051
New Mexico,35,2092434,37.67421099,20.01062971,48059,10.71237982
New York,36,19618453,55.86339555,14.64224201,65323,6.477076952
North Carolina,37,10155624,63.34459606,15.42256822,52413,11.06024489
North Dakota,38,752201,85.01411192,10.8988866,63473,7.400430022
Ohio,39,11641879,79.20231777,14.54167878,54533,6.480760679
Oklahoma,40,3918137,66.00356241,15.98656919,51424,14.2165559
Oregon,41,4081943,76.03136546,14.1151402,59393,7.265826223
Pennsylvania,42,12791181,76.82531425,12.75387719,59445,6.241065385
Rhode Island,44,1056611,72.65937985,13.09559078,63296,5.213766442
South Carolina,45,4955925,63.70098418,16.00803651,51015,11.01627359
South Dakota,46,864289,82.24216668,13.55146176,56499,9.386753517
Tennessee,47,6651089,74.03516928,16.12794751,50972,10.09325006
Texas,48,27885195,42.34240786,15.45565852,59570,17.37894338
Utah,49,3045350,78.61946903,10.33715226,68374,9.993479223
Vermont,50,624977,92.96710119,11.16611753,60076,4.097942142
Virginia,51,8413774,62.19695228,10.94790843,71564,9.218980287
Washington,53,7294336,69.08384807,11.47241692,70116,6.787660898
West Virginia,54,1829054,92.11078514,17.75760329,44921,6.489359929
Wisconsin,55,5778394,81.52850083,11.87268499,59209,5.77308285
Wyoming,56,581836,84.14037633,11.14728409,62268,11.34540839
Puerto Rico,72,3386941,0.827147565,44.54158801,20166,6.240891536